Running with CUDA on GPU 0	
Epoch 1.91 / 25, i = 275 / 7575, loss = 0.367829	
Epoch 1.91 / 25, i = 276 / 7575, loss = 0.361375	
Epoch 1.91 / 25, i = 277 / 7575, loss = 0.358764	
Epoch 1.92 / 25, i = 278 / 7575, loss = 0.360191	
Epoch 1.92 / 25, i = 279 / 7575, loss = 0.358033	
Epoch 1.92 / 25, i = 280 / 7575, loss = 0.360340	
Epoch 1.93 / 25, i = 281 / 7575, loss = 0.356167	
Epoch 1.93 / 25, i = 282 / 7575, loss = 0.353614	
Epoch 1.93 / 25, i = 283 / 7575, loss = 0.358040	
Epoch 1.94 / 25, i = 284 / 7575, loss = 0.353426	
Epoch 1.94 / 25, i = 285 / 7575, loss = 0.347048	
Epoch 1.94 / 25, i = 286 / 7575, loss = 0.348000	
Epoch 1.95 / 25, i = 287 / 7575, loss = 0.346305	
Epoch 1.95 / 25, i = 288 / 7575, loss = 0.343398	
Epoch 1.95 / 25, i = 289 / 7575, loss = 0.344039	
Epoch 1.96 / 25, i = 290 / 7575, loss = 0.337553	
Epoch 1.96 / 25, i = 291 / 7575, loss = 0.336485	
Epoch 1.96 / 25, i = 292 / 7575, loss = 0.340661	
Epoch 1.97 / 25, i = 293 / 7575, loss = 0.337989	
Epoch 1.97 / 25, i = 294 / 7575, loss = 0.333658	
Epoch 1.97 / 25, i = 295 / 7575, loss = 0.336157	
Epoch 1.98 / 25, i = 296 / 7575, loss = 0.346353	
Epoch 1.98 / 25, i = 297 / 7575, loss = 0.342438	
Epoch 1.98 / 25, i = 298 / 7575, loss = 0.340749	
Epoch 1.99 / 25, i = 299 / 7575, loss = 0.351629	
Epoch 1.99 / 25, i = 300 / 7575, loss = 0.333474	
Epoch 1.99 / 25, i = 301 / 7575, loss = 0.338035	
Epoch 2.00 / 25, i = 302 / 7575, loss = 0.333563	
Epoch 2.00 / 25, i = 303 / 7575, loss = 0.357557	
Epoch 2.00 / 25, i = 304 / 7575, loss = 0.378583	
Epoch 2.01 / 25, i = 305 / 7575, loss = 0.342964	
Epoch 2.01 / 25, i = 306 / 7575, loss = 0.343412	
Epoch 2.01 / 25, i = 307 / 7575, loss = 0.327206	
Epoch 2.02 / 25, i = 308 / 7575, loss = 0.327740	
Epoch 2.02 / 25, i = 309 / 7575, loss = 0.327733	
Epoch 2.02 / 25, i = 310 / 7575, loss = 0.320740	
Epoch 2.03 / 25, i = 311 / 7575, loss = 0.323785	
Epoch 2.03 / 25, i = 312 / 7575, loss = 0.315519	
Epoch 2.03 / 25, i = 313 / 7575, loss = 0.312829	
Epoch 2.04 / 25, i = 314 / 7575, loss = 0.308385	
Epoch 2.04 / 25, i = 315 / 7575, loss = 0.308495	
Epoch 2.04 / 25, i = 316 / 7575, loss = 0.309987	
Epoch 2.05 / 25, i = 317 / 7575, loss = 0.307820	
Epoch 2.05 / 25, i = 318 / 7575, loss = 0.307689	
Epoch 2.05 / 25, i = 319 / 7575, loss = 0.305268	
Epoch 2.06 / 25, i = 320 / 7575, loss = 0.298930	
Epoch 2.06 / 25, i = 321 / 7575, loss = 0.295648	
Epoch 2.06 / 25, i = 322 / 7575, loss = 0.293160	
Epoch 2.07 / 25, i = 323 / 7575, loss = 0.290235	
Epoch 2.07 / 25, i = 324 / 7575, loss = 0.295956	
Epoch 2.07 / 25, i = 325 / 7575, loss = 0.294138	
